Part,Value,Device,Package,Description,qty,MF,MPN,supplier,part no,qty ordered,cost
"3.3V,5V,12V,HEARTBEAT,WIFI",,LED0805,CHIPLED_0805,LED,5,osram,LG R971-KN-1,digikey,475-1410-1-ND,10,2.88
BT,,LED0805,CHIPLED_0805,LED,1,Wurth Electronics Inc,150080BS75000,digikey,732-4982-1-ND,2,1.02
"C1,C9,C11,C12,C22,C79",10u,C-USC0805,C0805,CAPACITOR,6, Murata Electronics North America,GRM21BR60J106ME19L,digikey,490-1718-1-ND,50,6.69
"C2,C3,C4,C5,C6,C7,C8,C10,C13,C14,C15,C16,C17,C18,C19,C20,C21,C29,C30,C73,C80",0.1u,C-USC0805,C0805,CAPACITOR,21,Murata Electronics North America,GRM21BR71E104KA01L,digikey,490-1673-1-ND,50,6.46
"C23,C24",22p,C-USC1206,C1206,CAPACITOR,2,Kemet,C1206C220K5GACTU ,digikey,399-8165-1-ND,10,1.67
"C25,C26,C27",22p,C-USC0805,C0805,CAPACITOR,3,Kemet,C0805C220K3GACTU,digikey,399-9190-1-ND,10,0.95
C28,0.01u,C-USC0805,C0805,CAPACITOR,1,Murata Electronics North America,GRM216R71H103KA01D ,digikey,490-1664-1-ND,10,1
"C67,C74,C83,C87",10uF,CPOL-EUSMCD,SMC_D,POLARIZED CAPACITOR,4,Kemet,T521D106M050ATE090 ,digikey,399-9785-1-ND ,10,31.25
"C68,C75",0.68uF,C-EUC0603,C0603,CAPACITOR,2,TDK Corporation,CGA3E1X7R1E684M080AC ,digikey,445-12547-1-ND ,10,3.06
"C69,C76",27pF,C-EUC0603,C0603,CAPACITOR,2,"  Samsung Electro-Mechanics America, Inc",CL10C270JB8NNNC,digikey,1276-1086-1-ND,10,0.43
"C70,C77,C81,C85,C88,C89,C90,C91,C92",0.1uF,C-EUC0603,C0603,CAPACITOR,9,Yageo,CC0603KRX7R7BB104 ,digikey,311-1088-1-ND,250,2.68
"C71,C78",4700pF,C-EUC0603,C0603,CAPACITOR,2,TDK Corporation,C1608C0G1E472J080AA ,digikey,445-2712-1-ND,10,3.06
"C72,C84",470pF,C-EUC0603,C0603,CAPACITOR,2,"Samsung Electro-Mechanics America, Inc. ",CL10C471JB8NNNC,digikey,1276-1168-1-ND,10,0.52
"C82,C86",1uF,C-EUC0603,C0603,CAPACITOR,2, Murata Electronics North America ,GRM188R61C105KA93D ,digikey,490-1536-1-ND,10,0.78
CON1,IDC10,CON10,CON10,CONNECTOR,1,  On Shore Technology Inc. ,"  
302-S101 ",digikey,ED1543-ND,2,0.86
"D10,D13",1N4148DO35-7,1N4148DO35-7,DO35-7,DIODE,2,  Fairchild Semiconductor ,1n4148,digikey,1N4148FS-ND,10,0.83
"D11,D14",MBRS340T3,MBRS340T3,SMC,SCHOTTKY BARRIER RECTIFIER 3.0 AMPERES 20,2,On Semiconductor,MBRS340T3G,digikey,MBRS340T3GOSCT-ND ,2,1.34
D9,B360B-13-F,DIODE-SMB,SMB,DIODE,1,Diodes Inc,B360B-13-F ,digikey,B360B-FDICT-ND,1,0.63
"ERASE,RESET",PUCHBUTTON,PUCHBUTTON,PUCHBUTTON,,2, C&K Components,KSR251GLFS,digikey,401-1702-1-ND,4,3.48
"IC9,IC10",LT3434,LT3434,TSSOP16EXP,High Voltage 3A,2,Linear Technology ,LT3434IFE#PBF,digikey,LT3434IFE#PBF-ND,2,37.2
IC11,MAX3232CUE,MAX3232CUE,TSSOP16,True RS-232 Transceivers 3.0V to 5.5V,1,Texas Instruments,MAX3232CPWR,digikey,296-13096-1-ND,1,2.79
J1,,DCJ0303,DCJ0303,DC POWER JACK,1,CUI Inc,PJ-202A,digikey,CP-202A-ND,1,0.93
"J2,J3",J3011,J3011,J30,RJ45 PulseJack w/LEDs,2,Pulse Electronic Corporation,J3011G21DNLT,digikey,553-1763-1-ND,2,17.96
"L1,L2,L3,L4",MH2029-300Y,WE-CBF_0805,805,SMD EMI Suppression Ferrite Beads,4,Bourns,MH2029-300Y,digikey,MH2029-300YCT-ND,10,0.62
"L5,L6",33uH,MS85,MS85,INDUCTOR,2,TDK Corporation,"CLF7045T-330M-H
",digikey,445-9543-1-ND,3,3.9
MICRO_SD,MICRO_SD,MICROSD_PP,MICROSD_PP,,1,www.dipmicro.com,DE1594,www.dipmicro.com,DE1594,2,C$0.61
PTC,,PTC1812,PTC1812,PTC (Resettable Fuse),1,Littlefuse Inc,1812L075PR,digikey,F2151CT-ND,10,4.72
R1,100k,R-US_R0805,R0805,RESISTOR,1,Yageo,RC0805FR-07100KL,digikey,311-100KCRCT-ND,10,0.21
"R38,R41",100K,R-EU_R0603,R0603,RESISTOR,2,,,,,,
"R2,R3",39R 1%,R-US_R0805,R0805,RESISTOR,2,Stackpole Electronics Inc.,RMCF0805JT33R0,digikey,RMCF0805JT33R0CT-ND,10,0.17
R4,6k8 1%,R-US_R0805,R0805,RESISTOR,1,Yageo,RC0805JR-076K8L,digikey,311-6.8KARCT-ND,10,0.18
"R5,R58,R63",402R,R-US_R0805,R0805,RESISTOR,3,Yageo,RC0805FR-07402RL,digikey,311-402CRCT-ND,10,0.21
"R40,R65",10K,R-EU_R0603,R0603,RESISTOR,2,,,,,,
R39,300K,R-EU_R0603,R0603,RESISTOR,1,,,,,,
"R54,R55",4.7k,R-US_R0805,R0805,RESISTOR,2,Yageo,RC0805FR-074K7L,digikey,311-4.70KCRCT-ND,10,0.21
R56,3k3,R-US_R0805,R0805,RESISTOR,1,Yageo,RC0805JR-073K3L,digikey,311-3.3KARCT-ND,10,0.18
R57,1k,R-US_R0805,R0805,RESISTOR,1,Yageo,RC0805JR-071KL,digikey,311-1.0KARCT-ND,10,0.18
"R59,R60,R61,R62",24R,R-US_R0805,R0805,RESISTOR,4,Yageo,RC0805FR-0724RL,digikey,311-24.0CRCT-ND,10,0.21
R64,165K,R-EU_R0603,R0603,RESISTOR,1,,,,,,
"R66,R68,R71,R72,R78,R79,R80,R81,R86,R87",0R,R-US_R0805,R0805,RESISTOR,10,Yageo,RC0805JR-070RL,digikey, 311-0.0ARCT-ND,25,0.32
"R67,R70,R73,R74,R75,R76,R77,R82,R83,R84,R85,R88,R89",DNF,R-US_R0805,R0805,RESISTOR,13,,,,,,
TVS,SMBJ15A-TR,SUPPRESSOR-SMBJ,SMBJ,Suppressor diode,1,Yageo,SMBJ15A-TR,digikey,497-3003-1-ND,1,0.42
U$1,NANOREACH,NANOREACH,NANOREACH,,1,,,,,,
U$3,HM-13,HM-13,HM-13,,1,"Speed Technology Co., Ltd",317030001,digikey,1597-1359-ND,1,17.76
U1,ATSAM3X8EA-AU,ATSAM3X/AAU,LQFP144,,1,,,,,,
U2,ADUM4160BRWZ,ADUM4160BRWZ,SOIC127P1032X265-16N,Full/Low Speed 5 kV USB Digital Isolator,1,Analog Devices,ADUM4160BRWZ-RL,digikey,ADUM4160BRWZ-RLCT-ND,1,17.89
U7,CK_CUSTOM_M24M02-DRMN6TP,CK_CUSTOM_M24M02-DRMN6TP,CK_CUSTOM_SOIC8,,1,STMicroelectronic,M24M02-DRMN6TP,digikey,497-11600-1-ND,1,4.26
"U8,U9,U10",560020-04,560020-04,560020-4,,3,Molex LLC,5600200420,digikey,WM10864CT-ND,3,7.26
mating connectors,,,,,5,Molex LLC,5023510400,digikey,WM8688-ND,10,6.39
pins,,,,,24,Molex LLC,5600850101,digikey,WM14168CT-ND,25,3.75
X1,MINI-USB-UX60-MB-5ST,MINI-USB-UX60-MB-5ST,UX60-MB-5ST,MINI USB Connector,1,Hirose,UX60-MB-5ST,digikey,H2959CT-ND,2,3.28
X2,,CONN_5-1-502386,CM-502386-05,,1,Molex LLC,5023860570,digikey,WM4949CT-ND,2,2.18
mating connectors,,,,,,Molex LLC,5023800500,digikey,WM2270-ND,2,0.76
Y1,12MHz KX-7 20pF,CRYSTAL-3.2-2.5,CRYSTAL-3.2-2.5,,1,AVX Corp/Kyocera Corp,CX3225SB12000D0GZJC1,digikey,1253-1696-1-ND,2,2.02
Y2,32.768Khz,ARDUINO_WIFI_SHIELD_V018_TG_RESONATOR_EPSON_FC_145,ARDUINO_WIFI_SHIELD_V018_TG_RESONATOR_EPSON_FC_145,,1,AVX Corp/Kyocera Corp,ST3215SB32768E0HPWBB,digikey,1253-1335-1-ND,2,2.2
"Z1,Z2",CG0603MLC-05E,VARISTORCN0603,CT/CN0603,VARISTOR,2,Bourns,CG0603MLC-05E,digikey,CG0603MLC-05ECT-ND,10,2.71
ZEN,1SMB5929BT3G,ZENER-DIODESMB,SMB,Z-Diode,1,ON Semiconductor,1SMB5929BT3G,digikey,1SMB5929BT3GOSCT-ND,1,0.72
,,,,,,,,,,,211.18
